s,iter,model,Estimation method,MSE,MSE_0,Feature importance
1,7,Interaction,Causal Forest,0.03855436949529039,0.24993329616699841,"[0.31710949348512174, 0.3609578073087808, 0.11560841610741225, 0.09404016413874836, 0.11228411895993685]"
1,7,LSS confounding,Causal Forest,0.26044654747117985,0.560572398682768,"[0.4755919325923102, 0.08852193249155395, 0.13325584268224056, 0.17769088378055042, 0.12493940845334502]"
1,7,Linear,Causal Forest,0.02776053554116221,0.10471159578741017,"[0.06945198346214164, 0.4822978883205637, 0.15145028741345173, 0.13236750991426616, 0.1644323308895767]"
1,7,Mixed,Causal Forest,0.13195961942682843,0.2397196061217335,"[0.12153122265897717, 0.08679232439757949, 0.574958840347124, 0.11569176130687804, 0.10102585128944132]"
1,2,Interaction,Causal Forest,0.041574849894303316,0.25220987527336414,"[0.3447693713254811, 0.34477445025949705, 0.10677332985544345, 0.10176013227122585, 0.10192271628835262]"
1,2,LSS confounding,Causal Forest,0.30115576335000327,0.602416891730377,"[0.5347984800911783, 0.08912930782992257, 0.141081227550667, 0.10297099975714956, 0.13201998477108273]"
1,2,Linear,Causal Forest,0.014262198004481724,0.10017619723077562,"[0.08627453090202111, 0.5515912324836661, 0.12153349347446545, 0.12722747756238856, 0.11337326557745861]"
1,2,Mixed,Causal Forest,0.10448521089427111,0.28943064289747433,"[0.15785403291499575, 0.10833823786570392, 0.5631604642575375, 0.09649818229674594, 0.07414908266501687]"
1,3,Interaction,Causal Forest,0.02312545012644254,0.2547347776337269,"[0.31832881639194893, 0.3846849070052326, 0.08423402313073446, 0.08875658102193584, 0.1239956724501482]"
1,3,LSS confounding,Causal Forest,0.4900834845093092,0.7904487906130103,"[0.523249895478842, 0.10140037040044328, 0.13079737135532007, 0.12625587045539347, 0.11829649231000129]"
1,3,Linear,Causal Forest,0.06544325328887131,0.1487171532797302,"[0.06431396660114595, 0.5019445574327034, 0.1296419472301903, 0.1625070232054429, 0.14159250553051753]"
1,3,Mixed,Causal Forest,0.14498286896881568,0.27178091639944474,"[0.10294807791750321, 0.10159632471301215, 0.5927605883883649, 0.09503325384933085, 0.10766175513178888]"
1,19,Interaction,Causal Forest,0.06291843539229335,0.2509725259455361,"[0.3016334147431285, 0.3910209462725887, 0.09391112464836246, 0.10836509136136412, 0.10506942297455618]"
1,19,LSS confounding,Causal Forest,0.36650798403640095,0.6524850839735077,"[0.44578670034091405, 0.10853010847912485, 0.123083525734255, 0.15999431028578381, 0.1626053551599223]"
1,19,Linear,Causal Forest,0.039837508689484304,0.11246446316592328,"[0.06259336808328907, 0.5068035584293036, 0.14084821132300898, 0.17907014379820088, 0.11068471836619752]"
1,19,Mixed,Causal Forest,0.13115866900074957,0.3324634459148439,"[0.15775248433240957, 0.10543664378234777, 0.5401190157633224, 0.09878958917813797, 0.09790226694378215]"
1,8,Interaction,Causal Forest,0.06012218850866886,0.258748405882699,"[0.3030403337991346, 0.3497287841102919, 0.1272726347714042, 0.09849211789534479, 0.12146612942382466]"
1,8,LSS confounding,Causal Forest,0.40727718831726284,0.6670081083566926,"[0.4508372696455845, 0.08062508389539845, 0.13650256266606375, 0.18004092481130346, 0.15199415898164984]"
1,8,Linear,Causal Forest,0.04253409377400551,0.10511572892976215,"[0.07450112276195969, 0.3917492369491995, 0.21418880622036143, 0.13585471013930353, 0.18370612392917576]"
1,8,Mixed,Causal Forest,0.13959968899860586,0.3137054814439128,"[0.14069491434820386, 0.07085238594537961, 0.5869518540443718, 0.11636097119087646, 0.08513987447116814]"
1,16,Interaction,Causal Forest,0.04184256065652735,0.2580702049473687,"[0.3098134842974847, 0.38577984547338146, 0.11317814761723914, 0.105400642381284, 0.08582788023061079]"
